截图失败的URL列表 (索引	URL):
606	https://finderton.io/
37	http://dex.biton.app/
1212	https://tesla-cdn.thron.com/static/EIUQEC_2022_Q2_Quarterly_Update_Deck_J8VLIK.pdf
1215	https://testnet.modemax.io/#/points
49	http://gamestop.com/
58	http://jvault.app/
1230	https://thena.fi/
1231	https://theprint.in/world/german-development-minister-says-world-may-face-worst-famine-since-ww2/947992/https://theprint.in/world/german-development-minister-says-world-may-face-worst-famine-since-ww2/947992/
1234	https://thetorrentdatabase.com/
66	http://mexc.com/
1238	https://time.com/7173421/what-donald-trump-election-win-means-for-crypto/
1240	https://timesofindia.indiatimes.com/gadgets-news/whatsapp-reveals-six-security-issues-that-could-have-got-its-users-hacked/articleshow/77925426.cms
1253	https://tokenova.fi/
1263	https://ton.diamonds/
101	http://test-ipv6.com/
116	http://tondaddy.com/
125	http://web.archive.org/web/20231214214932/https://ton.org/roadmap
1302	https://tonalytica.redoubt.online/dashboards/134-catizen-dashboard
143	https://2028110.com/
151	https://38.47.192.19:60007/#/link?allwin=4126001
1314	https://toncoingame.ru/
731	https://home.treasury.gov/news/press-releases/sb0129
176	https://afreecatv.com/
1345	https://tonuniverse.com/
189	https://amzn.to/3H0e1ZL
743	https://icodrops.com/
190	https://amzn.to/3H29CFI
191	https://amzn.to/3KS89mv
192	https://amzn.to/3Lh8kJx
193	https://amzn.to/3USiOSN
194	https://amzn.to/3UWL0Em
195	https://amzn.to/3mSXxMc
196	https://amzn.to/3mTrQT9
197	https://amzn.to/3mVDQmX
1356	https://trade.bitazza.com/gl/spot/BABYDOGEUSDT
198	https://amzn.to/3oxqPjT
199	https://amzn.to/40kRHkA
200	https://amzn.to/40q1aaj
201	https://amzn.to/41H7D1B
1361	https://triv.co.id/id/home/liverate/onemxbabydoge
1365	https://ttabvue.uspto.gov/ttabvue/v?pno=91287432&pty=OPP
1368	https://tui-weixin.njxcggcj.com/app/register.php?site_id=1020&topId=2507317
217	https://app.ardoit.co/8Zb381UE
781	https://jvault.app/about#roadmap-en
782	https://jvault.app/stake
238	https://app.nomis.cc/scorefront
240	https://app.ogcom.xyz/invite/nomis
793	https://koreajoongangdaily.joins.com/2022/03/24/business/tech/LG-Electronics-NFT-blockchain/20220324170004314.html
797	https://kuailian.instll.icu/
802	https://latoken.com/exchange/BABYDOGE_USDT
1408	https://twitter.com/zksync
817	https://lets.windowsh.com/
818	https://letsexchange.io/
1420	https://universesatoshi.com/
278	https://beta.redoubt.online/tracker
831	https://linuxjourney.com/
1448	https://vip.yuntu.ink/
1452	https://vitalik.ca/general/2022/01/26/soulbound.html
1456	https://voting.blockchain-life.com/
309	https://biz.chosun.com/stock/finance/2025/04/16/FGW2OIC2IFC2VOMCPDEUE2BUPI/
310	https://bjrbdzb--bjd--com--cn--01057tkca49c1.wsipv6.com/bjrb/mobile/2022/20220706/20220706_006/content_20220706_006_7.htm#page5
1471	https://wayfarer.vanillacommunities.com/discussion/53688/access-issues-cheat-sheet#latest
876	https://mashable.com/article/brian-acton-whatsapp-interview/
354	https://c.vialoops.com/CL0/https:%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fcryptocurrency%2Fwhy-bitcoin-is-falling-despite-trumps-executive-order-establishing-a-strategic-bitcoin-reserve%2Farticleshow%2F118778619.cms%3Ffrom=mdr/1/010001957219953a-699a10db-1907-4007-8666-21efc3d2d0f2-000000/NgkmS43G3Cd6eHLeH-0biCgxUalZFx8KGwrb91ut9XY=395
1506	https://www.1dm5.cc/
1509	https://www.5o5k.com/
903	https://meta.wikimedia.org/wiki/Requests_for_comment/Stop_accepting_cryptocurrency_donations
1512	https://www.77ring.com/
1521	https://www.agriculture.senate.gov/newsroom/dem/press/release/stabenow-boozman-booker-and-thune-introduce-legislation-to-regulate-digital-commodities
1526	https://www.ambito.com/finanzas/criptomonedas/una-localidad-santa-fe-invertira-ganarle-la-inflacion-n5413523
1533	https://www.arthera.net/
391	https://coingecko.com/
393	https://coinmarketcap.com/
405	https://content.govdelivery.com/bulletins/gd/USDHSCBP-3db9e55?wgt_ref=USDHSCBP_WIDGET_2
1552	https://www.bitgetapps.com/support/articles/12560603825918
1553	https://www.bitmart.com/trade/en-US?symbol=BABYDOGE_USDT
1554	https://www.bitrue.com/futures/1MBABYDOGE
1555	https://www.bittime.com/en/trade/BABYDOGE-USDT
1558	https://www.blockchaingamer.biz/features/29904/top-50-blockchain-game-companies-2024/
1564	https://www.bnnbloomberg.ca/turkey-pushes-for-bigger-say-over-crypto-market-with-draft-bills-1.1770391
435	https://cut.tg/AfwGL
436	https://cut.tg/BiPdU
437	https://cut.tg/DBorW
438	https://cut.tg/In3VF
439	https://cut.tg/jN7Bo
440	https://cut.tg/nCeGG
441	https://cut.tg/sLvoQ
1582	https://www.cbb.gov.bh/media-center/central-bank-of-bahrain-grants-license-to-bpay-global/#:~:text=Manama%2C%20Kingdom%20of%20Bahrain%20%E2%80%93%209,company%20in%20the%20Binance%20Group
442	https://cut.tg/yivpf
1597	https://www.coingabbar.com/
1011	https://pad.chaingpt.org/buy-token/146
1618	https://www.dotnames.me/
